home_club_manager_name,total_win,total_games,win_rate
Phil Parkinson,17,22,77.27272727272727
Philippe Clement,104,132,78.78787878787878
Philippe Hinschberger,17,24,70.83333333333334
Philippe Montanier,65,103,63.10679611650486
Phillip Cocu,112,136,82.35294117647058
Pierpaolo Bisoli,9,13,69.23076923076923
Pieter Mulders,10,10,100.0
Pál Dárdai,70,100,70.0
Pêpa,85,104,81.73076923076923
Qatip Osmani,11,12,91.66666666666666
Quim Machado,18,31,58.06451612903226
Quique Setién,91,114,79.82456140350878
Quique Sánchez Flores,73,103,70.87378640776699
Qurban Qurbanov,43,64,67.1875
Rachid Chihab,10,12,83.33333333333334
Rafael Benítez,122,153,79.73856209150327
Raffaele Palladino,14,23,60.86956521739131
Ralf Rangnick,30,42,71.42857142857143
Ralph Hasenhüttl,112,144,77.77777777777779
Raphael Wicky,11,11,100.0
Rashid Rakhimov,68,91,74.72527472527473
Rasmus Bertelsen,9,14,64.28571428571429
Ratko Dostanic,24,30,80.0
Razvan Lucescu,110,146,75.34246575342466
Recep Ucar,9,13,69.23076923076923
Reiner Maurer,10,11,90.9090909090909
René Eijer,13,18,72.22222222222221
René Girard,54,74,72.97297297297297
René Hake,66,90,73.33333333333333
René Meulensteen,10,10,100.0
René Weiler,27,35,77.14285714285715
Ricardo Moniz,9,13,69.23076923076923
Ricardo Soares,48,69,69.56521739130434
Ricardo Sá Pinto,66,93,70.96774193548387
Richie Foran,11,19,57.89473684210527
Rikard Norling,11,15,73.33333333333333
Rinat Bilyaletdinov,26,32,81.25
Riza Calimbay,122,175,69.71428571428572
Rob Alflen,14,18,77.77777777777779
Rob Edwards,6,10,60.0
Robbie Neilson,61,74,82.43243243243244
Robert Evdokimov,21,26,80.76923076923077
Robert Maaskant,32,39,82.05128205128204
Robert Molenaar,20,24,83.33333333333334
Robert Moreno,13,18,72.22222222222221
Robert Prosinecki,23,38,60.526315789473685
Roberto Bordin,11,15,73.33333333333333
Roberto Boscaglia,12,12,100.0
Roberto Carlos,27,33,81.81818181818183
Roberto D'Aversa,64,79,81.0126582278481
Roberto De Zerbi,96,128,75.0
Roberto Di Matteo,22,27,81.48148148148148
Roberto Donadoni,89,117,76.06837606837607
Roberto Mancini,83,101,82.17821782178217
Roberto Martínez,65,88,73.86363636363636
Roberto Stellone,20,24,83.33333333333334
Robin Dutt,14,23,60.86956521739131
Roger Schmidt,127,153,83.00653594771242
Rogier Meijer,29,46,63.04347826086957
Roland Vrabec,8,10,80.0
Rolando Maran,109,153,71.24183006535948
Rolland Courbis,40,48,83.33333333333334
Roman Grygorchuk,77,102,75.49019607843137
Roman Monarev,14,19,73.68421052631578
Roman Sanzhar,51,71,71.83098591549296
Roman Sharonov,9,11,81.81818181818183
Ron Jans,108,145,74.48275862068967
Ronald Koeman,118,144,81.94444444444444
Ronny Deila,65,82,79.26829268292683
Ronny Van Geneugden,24,36,66.66666666666666
Roy Hodgson,71,96,73.95833333333334
Rubi,62,80,77.5
Rubén Baraja,13,17,76.47058823529412
Rubén Sellés,10,12,83.33333333333334
Rudi Garcia,146,189,77.24867724867724
Rui Pedro Silva,9,13,69.23076923076923
Rui Quinta,12,13,92.3076923076923
Rui Vitória,127,153,83.00653594771242
Ruslan Kostyshyn,24,33,72.72727272727273
Ruslan Rotan,9,15,60.0
Rustem Khuzin,16,21,76.19047619047619
Ruud Brood,28,46,60.86956521739131
Ruud van Nistelrooy,22,25,88.0
Régis Le Bris,19,26,73.07692307692307
Rémi Garde,46,62,74.19354838709677
Rúben Amorim,83,95,87.36842105263159
Rúnar Kristinsson,8,16,50.0
Rüdiger Rehm,10,10,100.0
Sabri Lamouchi,18,23,78.26086956521739
Safet Susic,14,18,77.77777777777779
Sakis Tsiolis,35,46,76.08695652173914
Sam Allardyce,85,113,75.22123893805309
Samet Aybaba,51,78,65.38461538461539
Sami Hyypiä,18,20,90.0
Sami Ugurlu,10,11,90.9090909090909
Samson Pruidze,7,11,63.63636363636363
Sandro Mendes,2,10,20.0
Sandro Schwarz,65,82,79.26829268292683
Santiago Solari,11,11,100.0
Sascha Lewandowski,18,23,78.26086956521739
Savvas Pantelidis,64,94,68.08510638297872
Scott Parker,28,35,80.0
Sean Dyche,122,159,76.72955974842768
Sebastian Hoeneß,43,53,81.13207547169812
Senol Can,21,25,84.0
Senol Günes,94,124,75.80645161290323
Sergen Yalcin,69,92,75.0
Sergey Ignashevich,15,18,83.33333333333334
Sergey Kiryakov,13,15,86.66666666666667
Sergey Osadchuk,10,10,100.0
Sergey Pervushin,21,24,87.5
Sergey Podpaly,8,10,80.0
Sergey Semak,122,137,89.05109489051095
Sergey Tashuev,46,58,79.3103448275862
Sergey Tomarov,8,12,66.66666666666666
Sergey Yuran,25,30,83.33333333333334
Sergi Barjuan,8,10,80.0
Sergio,78,121,64.46280991735537
Sergiy Kovalets,9,11,81.81818181818183
Sergiy Lavrynenko,30,45,66.66666666666666
Sergiy Rebrov,68,79,86.07594936708861
Sergiy Shevchenko,11,11,100.0
Sergiy Svystun,13,16,81.25
Sergiy Zaytsev,7,13,53.84615384615385
Serse Cosmi,17,21,80.95238095238095
Shota Arveladze,41,60,68.33333333333333
Shpetim Duro,8,10,80.0
Silas,34,41,82.92682926829268
Simo Valakari,5,10,50.0
Simon Grayson,11,12,91.66666666666666
Simon Rozman,12,16,75.0
Simone Inzaghi,161,188,85.63829787234043
Siniša Mihajlović,105,155,67.74193548387096
Sir Alex Ferguson,26,27,96.29629629629629
Sjors Ultee,52,59,88.13559322033898
Slaven Bilic,85,114,74.56140350877193
Slavisa Jokanovic,27,32,84.375
Slavisa Stojanovic,5,10,50.0
Slavoljub Muslin,27,28,96.42857142857143
Sofronios Avgousti,21,24,87.5
Sotiris Antoniou,5,13,38.46153846153847
Soulis Papadopoulos,9,21,42.857142857142854
Spartak Gogniev,14,16,87.5
Staikos Vergetis,41,57,71.9298245614035
Stale Solbakken,113,135,83.7037037037037
Stanimir Stoilov,21,31,67.74193548387096
Stanislav Cherchesov,47,62,75.80645161290323
Stanley Menzo,14,18,77.77777777777779
Stefan Krämer,17,20,85.0
Stefan Leitl,13,18,72.22222222222221
Stefan Ruthenbeck,10,14,71.42857142857143
Stefano Colantuono,63,80,78.75
Stefano Pioli,180,236,76.27118644067797
Steffen Baumgart,53,65,81.53846153846153
Stephen Baxter,11,16,68.75
Stephen Bradley,16,16,100.0
Stephen Glass,16,18,88.88888888888889
Stephen Kenny,8,13,61.53846153846154
Stephen Robinson,83,101,82.17821782178217
Steve Bruce,68,94,72.3404255319149
Steve Clarke,52,62,83.87096774193549
Steve Cooper,25,34,73.52941176470588
Steve Cotterill,11,12,91.66666666666666
Steve Davis,10,11,90.9090909090909
Steve Evans,16,19,84.21052631578947
Steve Lomas,12,20,60.0
Steve McClaren,29,41,70.73170731707317
Steven Defour,11,17,64.70588235294117
Steven Gerrard,85,103,82.52427184466019
Stevie Aitken,7,11,63.63636363636363
Stevie Hammell,8,10,80.0
Stijn Vreven,29,38,76.31578947368422
Stjepan Tomas,17,22,77.27272727272727
Stoycho Stoev,10,14,71.42857142857143
Stuart Kettlewell,28,35,80.0
Stuart McCall,44,53,83.01886792452831
Ståle Solbakken,14,20,70.0
Stéphane Jobard,10,19,52.63157894736842
Stéphane Moulin,75,110,68.18181818181817
Sylvain Ripoll,31,43,72.09302325581395
Sérgio Conceição,181,216,83.79629629629629
Sérgio Vieira,18,26,69.23076923076923
Takis Lemonis,13,15,86.66666666666667
Tam Courts,15,18,83.33333333333334
Tamaz Pertia,8,10,80.0
Tamer Tuna,31,46,67.3913043478261
Tayfun Korkut,31,45,68.88888888888889
Terry Butcher,28,40,70.0
Theodosis Theodosiadis,9,11,81.81818181818183
Thiago Motta,40,51,78.43137254901961
Thierry Laurey,63,92,68.47826086956522
Thomas Doll,17,19,89.47368421052632
Thomas Frank,73,102,71.56862745098039
Thomas Grafas,8,14,57.14285714285714
Thomas Letsch,48,63,76.19047619047619
Thomas Nörgaard,10,14,71.42857142857143
Thomas Reis,28,36,77.77777777777779
Thomas Schaaf,32,42,76.19047619047619
Thomas Schneider,7,12,58.333333333333336
Thomas Thomasberg,71,93,76.34408602150538
Thomas Tuchel,173,210,82.38095238095238
Thorsten Fink,31,38,81.57894736842105
Tiago Fernandes,6,10,60.0
Tim Sherwood,24,27,88.88888888888889
Tito Vilanova,18,22,81.81818181818183
Tolunay Kafkas,48,68,70.58823529411765
Tommy Wright,109,144,75.69444444444444
Ton Lokhoff,14,18,77.77777777777779
Toni Koskela,12,15,80.0
Tony Mowbray,10,11,90.9090909090909
Tony Pulis,73,96,76.04166666666666
Torsten Lieberknecht,24,29,82.75862068965517
Traianos Dellas,48,58,82.75862068965517
Troels Bech,27,37,72.97297297297297
Trond Sollied,14,18,77.77777777777779
Tulipa,8,11,72.72727272727273
Ugur Tütüneker,13,17,76.47058823529412
Uli Forte,8,10,80.0
Ulisses Morais,10,17,58.82352941176471
Unai Emery,228,275,82.9090909090909
Urs Fischer,73,101,72.27722772277228
Uwe Neuhaus,15,15,100.0
Uwe Rösler,36,56,64.28571428571429
Vadim Evseev,29,40,72.5
Vadim Garanin,10,13,76.92307692307693
Vadim Skripchenko,34,44,77.27272727272727
Vahid Halilhodzic,16,20,80.0
Valdas Dambrauskas,21,27,77.77777777777779
Valdas Urbonas,7,10,70.0
Valeriy Chalyi,11,15,73.33333333333333
Valeriy Ivashchenko,9,12,75.0
Valeriy Karpin,89,115,77.39130434782608
Valeriy Kryventsov,14,16,87.5
Valeriy Petrakov,22,28,78.57142857142857
Valérien Ismaël,26,30,86.66666666666667
Vardan Bichakhchyan,9,13,69.23076923076923
Vasco Seabra,28,49,57.14285714285714
Vasiliy Baskakov,12,15,80.0
Vasyl Kobin,14,17,82.35294117647058
Vasyl Sachko,55,75,73.33333333333333
Veaceslav Rusnac,7,11,63.63636363636363
Vicente Moreno,38,48,79.16666666666666
